inst#,actual,predicted,error,prediction
109,2:-,2:-,,1
110,2:-,2:-,,1
111,2:-,2:-,,1
112,2:-,2:-,,1
113,2:-,2:-,,1
114,2:-,2:-,,1
115,2:-,1:+,+,1
116,2:-,2:-,,1
117,2:-,2:-,,1
118,2:-,2:-,,1
119,2:-,1:+,+,1
120,2:-,2:-,,1
121,2:-,2:-,,1
122,2:-,2:-,,1
123,2:-,2:-,,1
124,2:-,2:-,,1
125,2:-,2:-,,1
126,2:-,2:-,,1
127,2:-,2:-,,1
128,2:-,2:-,,1
129,2:-,2:-,,1
130,2:-,2:-,,1
131,2:-,2:-,,1
132,2:-,2:-,,1
133,2:-,2:-,,1
134,2:-,2:-,,1
135,2:-,2:-,,1
136,2:-,2:-,,1
137,2:-,2:-,,1
138,2:-,1:+,+,1
139,2:-,2:-,,1
140,2:-,1:+,+,1
141,2:-,2:-,,1
142,2:-,2:-,,1
143,2:-,2:-,,1
144,2:-,2:-,,1
145,2:-,2:-,,1
146,2:-,2:-,,1
147,2:-,2:-,,1
148,2:-,1:+,+,1
149,2:-,2:-,,1
150,2:-,2:-,,1
151,2:-,2:-,,1
152,2:-,2:-,,1
153,2:-,1:+,+,1
154,2:-,2:-,,1
155,2:-,2:-,,0.999
156,2:-,2:-,,1
157,2:-,2:-,,1
158,2:-,2:-,,1
159,2:-,2:-,,1
160,2:-,2:-,,1
161,2:-,2:-,,1
162,2:-,2:-,,1
163,2:-,2:-,,1
164,2:-,2:-,,1
165,2:-,2:-,,1
166,2:-,2:-,,1
167,2:-,2:-,,0.994
168,2:-,2:-,,1
169,2:-,2:-,,1
170,2:-,2:-,,1
171,2:-,2:-,,1
172,2:-,2:-,,1
173,2:-,2:-,,1
174,2:-,2:-,,1
175,2:-,2:-,,1
176,2:-,2:-,,1
177,2:-,2:-,,1
178,2:-,2:-,,1
179,2:-,2:-,,1
180,2:-,2:-,,1
181,2:-,2:-,,1
182,2:-,2:-,,1
183,2:-,2:-,,1
184,2:-,2:-,,1
185,2:-,2:-,,1
186,2:-,2:-,,1
187,2:-,2:-,,1
188,2:-,2:-,,1
189,2:-,2:-,,1
190,2:-,2:-,,1
191,2:-,2:-,,1
192,2:-,2:-,,1
193,2:-,2:-,,1
194,2:-,2:-,,1
195,2:-,2:-,,1
196,2:-,1:+,+,1
197,2:-,2:-,,1
198,2:-,1:+,+,1
199,2:-,2:-,,1
200,2:-,2:-,,1
201,2:-,1:+,+,1
202,2:-,2:-,,1
203,2:-,1:+,+,1
204,2:-,2:-,,1
205,2:-,2:-,,1
206,2:-,2:-,,1
207,2:-,2:-,,1
208,2:-,2:-,,0.998
209,2:-,2:-,,1
210,2:-,2:-,,1
211,2:-,2:-,,1
212,2:-,2:-,,1
213,2:-,2:-,,1
214,2:-,2:-,,0.714
215,2:-,2:-,,1
216,2:-,2:-,,1
217,2:-,2:-,,1
218,2:-,2:-,,1
219,2:-,2:-,,1
220,2:-,2:-,,1
221,2:-,2:-,,1
222,2:-,2:-,,1
223,2:-,2:-,,1
224,2:-,2:-,,1
225,2:-,2:-,,1
226,2:-,2:-,,1
227,2:-,2:-,,1
228,2:-,2:-,,1
229,2:-,2:-,,0.736
230,2:-,2:-,,1
231,2:-,2:-,,1
232,2:-,2:-,,1
233,2:-,2:-,,1
234,2:-,2:-,,1
235,2:-,2:-,,1
236,2:-,1:+,+,1
237,2:-,1:+,+,1
238,2:-,2:-,,1
239,2:-,2:-,,1
240,2:-,1:+,+,1
241,2:-,2:-,,1
242,2:-,2:-,,1
243,2:-,2:-,,0.981
244,2:-,2:-,,1
245,2:-,2:-,,1
246,2:-,1:+,+,0.998
247,2:-,2:-,,1
248,2:-,1:+,+,1
249,2:-,2:-,,1
250,2:-,1:+,+,0.858
251,2:-,2:-,,1
252,2:-,2:-,,1
253,2:-,1:+,+,0.996
254,2:-,2:-,,1
255,2:-,2:-,,1
256,2:-,2:-,,1
257,2:-,1:+,+,1
258,2:-,2:-,,1
259,2:-,2:-,,1
260,2:-,2:-,,1
261,2:-,2:-,,1
262,2:-,2:-,,1
263,2:-,2:-,,1
264,2:-,2:-,,1
265,2:-,2:-,,1
266,2:-,1:+,+,1
267,2:-,2:-,,1
268,2:-,2:-,,1
269,2:-,2:-,,1
270,2:-,1:+,+,1
271,2:-,2:-,,1
272,2:-,2:-,,1
273,2:-,2:-,,1
274,2:-,2:-,,1
275,2:-,2:-,,1
276,2:-,2:-,,1
277,2:-,2:-,,1
278,2:-,2:-,,1
279,2:-,2:-,,1
280,2:-,1:+,+,1
281,2:-,2:-,,1
282,2:-,2:-,,1
283,2:-,2:-,,1
284,2:-,2:-,,1
285,2:-,2:-,,1
286,2:-,2:-,,1
287,2:-,2:-,,1
288,2:-,2:-,,1
289,2:-,2:-,,1
290,2:-,2:-,,1
291,2:-,2:-,,1
292,2:-,1:+,+,1
293,2:-,2:-,,1
294,2:-,2:-,,1
295,2:-,2:-,,1
296,2:-,2:-,,1
297,2:-,2:-,,1
298,2:-,2:-,,1
299,2:-,2:-,,1
300,2:-,2:-,,1
301,2:-,2:-,,1
302,2:-,2:-,,1
303,2:-,2:-,,1
304,2:-,2:-,,1
305,2:-,2:-,,1
306,2:-,2:-,,1
307,2:-,2:-,,1
308,2:-,2:-,,1
309,2:-,2:-,,1
310,2:-,2:-,,1
311,2:-,1:+,+,1
312,2:-,2:-,,1
313,2:-,2:-,,1
314,2:-,1:+,+,1
315,2:-,2:-,,1
316,2:-,1:+,+,1
317,2:-,2:-,,1
318,2:-,2:-,,1
319,2:-,2:-,,1
320,2:-,2:-,,1
321,2:-,1:+,+,1
322,2:-,2:-,,1
323,2:-,2:-,,1
324,2:-,1:+,+,1
325,2:-,2:-,,1
326,2:-,2:-,,1
327,2:-,2:-,,1
328,2:-,2:-,,1
329,2:-,2:-,,0.98
330,2:-,2:-,,1
331,2:-,2:-,,1
332,2:-,2:-,,1
333,2:-,2:-,,1
334,2:-,2:-,,1
335,2:-,2:-,,1
336,2:-,2:-,,1
337,2:-,2:-,,1
338,2:-,1:+,+,1
339,2:-,2:-,,1
340,2:-,2:-,,1
341,2:-,2:-,,1
342,2:-,1:+,+,0.999
343,2:-,1:+,+,1
344,2:-,2:-,,1
345,2:-,2:-,,1
346,2:-,1:+,+,1
347,2:-,2:-,,1
348,2:-,2:-,,1
349,2:-,2:-,,1
350,2:-,2:-,,1
351,2:-,2:-,,1
352,2:-,2:-,,1
353,2:-,2:-,,1
354,2:-,2:-,,1
355,2:-,2:-,,1
356,2:-,2:-,,1
357,2:-,2:-,,1
358,2:-,2:-,,1
359,2:-,1:+,+,1
360,2:-,2:-,,1
361,2:-,2:-,,1
362,2:-,2:-,,1
363,2:-,2:-,,1
364,2:-,2:-,,1
365,2:-,2:-,,1
366,2:-,2:-,,1
367,2:-,2:-,,1
368,2:-,2:-,,1
369,2:-,2:-,,1
370,2:-,2:-,,1
371,2:-,2:-,,1
372,2:-,2:-,,1
373,2:-,1:+,+,0.997
374,2:-,2:-,,1
375,2:-,2:-,,1
376,2:-,2:-,,1
377,2:-,1:+,+,0.998
378,2:-,2:-,,1
379,2:-,2:-,,1
380,2:-,2:-,,1
381,2:-,2:-,,1
382,2:-,2:-,,1
383,2:-,2:-,,1
384,2:-,2:-,,1
385,2:-,2:-,,1
386,2:-,2:-,,1
387,2:-,2:-,,1
388,2:-,1:+,+,1
389,2:-,2:-,,1
390,2:-,2:-,,1
391,2:-,2:-,,1
392,2:-,2:-,,1
393,2:-,2:-,,1
394,2:-,2:-,,1
395,2:-,2:-,,1
396,2:-,2:-,,1
397,2:-,2:-,,1
398,2:-,2:-,,1
399,2:-,2:-,,1
400,2:-,2:-,,1
401,2:-,2:-,,1
402,2:-,2:-,,1
403,2:-,1:+,+,0.68
404,2:-,2:-,,1
405,2:-,2:-,,1
406,2:-,2:-,,1
407,2:-,2:-,,1
408,2:-,2:-,,1
409,2:-,1:+,+,1
410,2:-,2:-,,1
411,2:-,2:-,,1
412,2:-,2:-,,1
413,2:-,2:-,,1
414,2:-,2:-,,1
415,2:-,2:-,,1
416,2:-,1:+,+,1
417,2:-,1:+,+,0.829
418,2:-,2:-,,1
419,2:-,2:-,,1
420,2:-,2:-,,1
421,2:-,2:-,,1
422,2:-,2:-,,1
423,2:-,2:-,,1
424,2:-,2:-,,1
425,2:-,2:-,,1
426,2:-,2:-,,1
427,2:-,2:-,,1
428,2:-,2:-,,1
429,2:-,2:-,,1
430,2:-,2:-,,1
431,2:-,1:+,+,1
432,2:-,2:-,,1
433,2:-,2:-,,1
434,2:-,2:-,,1
435,2:-,2:-,,1
436,2:-,1:+,+,1
437,2:-,2:-,,1
438,2:-,2:-,,1
439,2:-,2:-,,1
440,2:-,2:-,,1
441,2:-,2:-,,1
442,2:-,2:-,,1
443,2:-,2:-,,1
444,2:-,2:-,,1
445,2:-,2:-,,1
446,2:-,2:-,,1
447,2:-,2:-,,1
448,2:-,2:-,,1
449,2:-,2:-,,1
450,2:-,2:-,,1
451,2:-,2:-,,1
452,2:-,2:-,,1
453,2:-,2:-,,1
454,2:-,2:-,,1
455,2:-,2:-,,1
456,2:-,2:-,,1
457,2:-,2:-,,1
458,2:-,2:-,,1
459,2:-,2:-,,1
460,2:-,1:+,+,1
461,2:-,2:-,,1
462,2:-,2:-,,1
463,2:-,2:-,,1
464,2:-,2:-,,1
465,2:-,2:-,,1
466,2:-,2:-,,1
467,2:-,2:-,,1
468,2:-,2:-,,1
469,2:-,2:-,,1
470,2:-,2:-,,1
471,2:-,2:-,,1
472,2:-,2:-,,1
473,2:-,2:-,,1
474,2:-,2:-,,1
475,2:-,1:+,+,1
476,2:-,2:-,,1
477,2:-,2:-,,1
478,2:-,2:-,,1
479,2:-,2:-,,1
480,2:-,2:-,,1
481,2:-,2:-,,1
482,2:-,1:+,+,0.898
483,2:-,2:-,,1
484,2:-,2:-,,1
485,2:-,2:-,,1
486,2:-,2:-,,1
487,2:-,2:-,,1
488,2:-,2:-,,1
489,2:-,2:-,,1
490,2:-,2:-,,1
491,2:-,1:+,+,1
492,2:-,2:-,,1
493,2:-,2:-,,1
494,2:-,2:-,,1
495,2:-,2:-,,1
496,2:-,2:-,,1
497,2:-,2:-,,1
498,2:-,2:-,,1
499,2:-,2:-,,1
500,2:-,2:-,,0.741
501,2:-,2:-,,1
502,2:-,2:-,,1
503,2:-,2:-,,1
504,2:-,2:-,,1
505,2:-,2:-,,1
506,2:-,2:-,,1
507,2:-,1:+,+,1
508,2:-,2:-,,1
509,2:-,2:-,,1
510,2:-,1:+,+,1
511,2:-,2:-,,1
512,2:-,2:-,,1
513,2:-,2:-,,1
514,2:-,2:-,,1
515,2:-,2:-,,1
516,2:-,2:-,,1
517,2:-,2:-,,1
518,2:-,2:-,,1
519,2:-,2:-,,1
520,2:-,2:-,,1
521,2:-,2:-,,1
522,2:-,1:+,+,1
523,2:-,2:-,,1
524,2:-,2:-,,1
525,2:-,2:-,,1
526,2:-,2:-,,1
527,2:-,2:-,,1
528,2:-,2:-,,1
529,2:-,2:-,,1
530,2:-,1:+,+,1
531,2:-,1:+,+,1
532,2:-,2:-,,1
533,2:-,1:+,+,1
534,2:-,2:-,,1
535,2:-,2:-,,1
536,2:-,2:-,,1
537,2:-,2:-,,1
538,2:-,2:-,,1
539,2:-,2:-,,1
540,2:-,2:-,,1
541,2:-,2:-,,1
542,2:-,2:-,,1
543,2:-,2:-,,1
544,2:-,2:-,,1
545,2:-,2:-,,1
546,2:-,2:-,,1
547,2:-,2:-,,1
548,2:-,2:-,,1
549,2:-,2:-,,1
550,2:-,2:-,,1
551,2:-,2:-,,1
552,2:-,1:+,+,1
553,2:-,2:-,,1
554,2:-,2:-,,1
555,2:-,2:-,,1
556,2:-,2:-,,1
557,2:-,2:-,,1
558,2:-,2:-,,1
559,2:-,2:-,,1
560,2:-,2:-,,1
561,2:-,2:-,,1
562,2:-,2:-,,1
563,2:-,2:-,,1
564,2:-,2:-,,1
565,2:-,2:-,,1
566,2:-,2:-,,1
567,2:-,2:-,,1
568,2:-,2:-,,1
569,2:-,1:+,+,1
570,2:-,1:+,+,1
571,2:-,2:-,,1
572,2:-,2:-,,1
573,2:-,2:-,,1
574,2:-,2:-,,1
575,2:-,2:-,,1
576,2:-,2:-,,1
577,2:-,2:-,,1
578,2:-,2:-,,1
579,2:-,2:-,,1
580,2:-,2:-,,1
581,2:-,2:-,,1
582,2:-,2:-,,1
583,2:-,2:-,,1
584,2:-,2:-,,1
585,2:-,2:-,,1
586,2:-,2:-,,1
587,2:-,2:-,,1
588,2:-,2:-,,1
589,2:-,2:-,,1
590,2:-,2:-,,1
591,2:-,2:-,,1
592,2:-,2:-,,1
593,2:-,2:-,,1
594,2:-,2:-,,1
595,2:-,2:-,,1
596,2:-,2:-,,1
597,2:-,1:+,+,1
598,2:-,2:-,,1
599,2:-,2:-,,1
600,2:-,2:-,,1
601,2:-,2:-,,1
602,2:-,2:-,,1
603,2:-,2:-,,1
604,2:-,2:-,,1
605,2:-,2:-,,1
606,2:-,2:-,,1
607,2:-,2:-,,1
608,2:-,2:-,,1
609,2:-,2:-,,1
610,2:-,2:-,,1
611,2:-,2:-,,0.943
612,2:-,2:-,,1
613,2:-,2:-,,1
614,2:-,2:-,,1
615,2:-,2:-,,1
616,2:-,2:-,,1
617,2:-,2:-,,1
618,2:-,2:-,,1
619,2:-,2:-,,1
620,2:-,2:-,,1
621,2:-,2:-,,1
622,2:-,2:-,,1
623,2:-,2:-,,1
624,2:-,2:-,,1
625,2:-,2:-,,1
626,2:-,2:-,,1
627,2:-,2:-,,1
628,2:-,2:-,,1
629,2:-,2:-,,1
630,2:-,2:-,,1
631,2:-,2:-,,1
632,2:-,2:-,,1
633,2:-,2:-,,1
634,2:-,2:-,,1
635,2:-,2:-,,1
636,2:-,2:-,,1
637,2:-,2:-,,1
638,2:-,2:-,,1
639,2:-,2:-,,1
640,2:-,2:-,,1
641,2:-,2:-,,1
642,2:-,2:-,,1
643,2:-,2:-,,0.812
644,2:-,2:-,,1
645,2:-,2:-,,1
646,2:-,1:+,+,1
647,2:-,2:-,,1
648,2:-,2:-,,1
649,2:-,2:-,,0.997
650,2:-,2:-,,1
651,2:-,2:-,,1
652,2:-,2:-,,1
653,2:-,2:-,,1
654,2:-,2:-,,1
655,2:-,2:-,,1
656,2:-,1:+,+,1
657,2:-,2:-,,1
658,2:-,2:-,,1
659,2:-,2:-,,1
660,2:-,2:-,,1
661,2:-,2:-,,1
662,2:-,2:-,,1
663,2:-,2:-,,1
664,2:-,2:-,,1
665,2:-,2:-,,1
666,2:-,2:-,,1
667,2:-,2:-,,1
668,2:-,2:-,,1
669,2:-,2:-,,1
670,2:-,2:-,,1
671,2:-,2:-,,1
672,2:-,2:-,,1
673,2:-,2:-,,1
674,2:-,2:-,,1
675,2:-,2:-,,1
676,2:-,2:-,,1
677,2:-,2:-,,1
678,2:-,2:-,,1
679,2:-,2:-,,1
680,2:-,1:+,+,1
681,2:-,1:+,+,1
682,2:-,1:+,+,0.675
683,2:-,2:-,,1
684,2:-,2:-,,1
685,2:-,1:+,+,1
686,2:-,2:-,,1
687,2:-,2:-,,1
688,2:-,2:-,,1
689,2:-,1:+,+,1
690,2:-,2:-,,1
691,2:-,2:-,,1
692,2:-,2:-,,1
693,2:-,2:-,,1
694,2:-,2:-,,1
695,2:-,2:-,,0.999
696,2:-,1:+,+,1
697,2:-,2:-,,1
698,2:-,2:-,,1
699,2:-,2:-,,1
700,2:-,2:-,,1
701,2:-,2:-,,1
702,2:-,2:-,,1
703,2:-,2:-,,1
704,2:-,2:-,,1
705,2:-,2:-,,1
706,2:-,2:-,,1
707,2:-,2:-,,1
708,2:-,2:-,,1
709,2:-,2:-,,1
710,2:-,2:-,,1
711,2:-,2:-,,0.983
712,2:-,2:-,,1
713,2:-,2:-,,1
714,2:-,2:-,,1
715,2:-,2:-,,1
716,2:-,2:-,,1
717,2:-,2:-,,1
718,2:-,2:-,,1
719,2:-,2:-,,1
720,2:-,2:-,,1
721,2:-,2:-,,1
722,2:-,2:-,,0.998
723,2:-,2:-,,0.999
724,2:-,1:+,+,1
725,2:-,2:-,,1
726,2:-,2:-,,1
727,2:-,2:-,,1
728,2:-,2:-,,1
729,2:-,1:+,+,1
730,2:-,2:-,,1
731,2:-,1:+,+,1
732,2:-,2:-,,1
733,2:-,2:-,,1
734,2:-,2:-,,1
735,2:-,2:-,,1
736,2:-,2:-,,1
737,2:-,1:+,+,1
738,2:-,2:-,,1
739,2:-,2:-,,1
740,2:-,2:-,,1
741,2:-,2:-,,1
742,2:-,1:+,+,1
743,2:-,2:-,,1
744,2:-,2:-,,1
745,2:-,2:-,,1
746,2:-,2:-,,1
747,2:-,2:-,,1
748,2:-,2:-,,1
749,2:-,2:-,,1
750,2:-,2:-,,1
751,2:-,2:-,,1
752,2:-,2:-,,1
753,2:-,2:-,,1
754,2:-,2:-,,1
755,2:-,2:-,,1
756,2:-,2:-,,1
757,2:-,2:-,,1
758,2:-,2:-,,1
759,2:-,2:-,,0.83
760,2:-,2:-,,1
761,2:-,2:-,,1
762,2:-,2:-,,1
763,2:-,2:-,,0.88
764,2:-,2:-,,1
765,2:-,2:-,,1
766,2:-,2:-,,1
767,2:-,2:-,,1
768,2:-,2:-,,1
769,2:-,2:-,,1
770,2:-,2:-,,1
771,2:-,2:-,,1
772,2:-,2:-,,1
773,2:-,2:-,,1
774,2:-,1:+,+,1
775,2:-,2:-,,1
776,2:-,2:-,,1
777,2:-,2:-,,1
778,2:-,2:-,,1
779,2:-,1:+,+,0.874
780,2:-,2:-,,1
781,2:-,2:-,,1
782,2:-,2:-,,1
783,2:-,2:-,,1
784,2:-,2:-,,1
785,2:-,2:-,,1
786,2:-,2:-,,1
787,2:-,2:-,,1
788,2:-,2:-,,1
789,2:-,2:-,,1
790,2:-,2:-,,1
791,2:-,2:-,,1
792,2:-,2:-,,1
793,2:-,2:-,,0.997
794,2:-,2:-,,1
795,2:-,2:-,,1
796,2:-,2:-,,1
797,2:-,1:+,+,1
798,2:-,2:-,,1
799,2:-,2:-,,1
800,2:-,2:-,,1
801,2:-,2:-,,1
802,2:-,2:-,,1
803,2:-,2:-,,1
804,2:-,2:-,,1
805,2:-,2:-,,1
806,2:-,2:-,,1
807,2:-,2:-,,1
808,2:-,2:-,,1
809,2:-,2:-,,1
810,2:-,2:-,,1
811,2:-,1:+,+,1
812,2:-,2:-,,1
813,2:-,2:-,,1
814,2:-,2:-,,1
815,2:-,2:-,,1
816,2:-,2:-,,1
817,2:-,2:-,,1
818,2:-,2:-,,1
819,2:-,2:-,,1
820,2:-,2:-,,1
821,2:-,2:-,,1
822,2:-,2:-,,1
823,2:-,2:-,,1
824,2:-,2:-,,1
825,2:-,1:+,+,1
826,2:-,1:+,+,1
827,2:-,2:-,,1
828,2:-,2:-,,1
829,2:-,1:+,+,1
830,2:-,1:+,+,1
831,2:-,2:-,,1
832,2:-,2:-,,1
833,2:-,2:-,,1
834,2:-,2:-,,1
835,2:-,2:-,,1
836,2:-,2:-,,1
837,2:-,2:-,,1
838,2:-,2:-,,1
839,2:-,2:-,,1
840,2:-,2:-,,1
841,2:-,2:-,,1
842,2:-,2:-,,1
843,2:-,2:-,,1
844,2:-,2:-,,1
845,2:-,1:+,+,1
846,2:-,2:-,,1
847,2:-,2:-,,1
848,2:-,2:-,,1
849,2:-,2:-,,1
850,2:-,2:-,,1
851,2:-,2:-,,1
852,2:-,2:-,,1
853,2:-,2:-,,1
854,2:-,2:-,,1
855,2:-,1:+,+,1
856,2:-,2:-,,1
857,2:-,2:-,,1
858,2:-,2:-,,1
859,2:-,2:-,,1
860,2:-,2:-,,1
861,2:-,2:-,,1
862,2:-,2:-,,1
863,2:-,2:-,,1
864,2:-,2:-,,1
865,2:-,2:-,,1
866,2:-,2:-,,1
867,2:-,2:-,,1
868,2:-,2:-,,1
869,2:-,2:-,,1
870,2:-,2:-,,1
871,2:-,2:-,,1
872,2:-,2:-,,1
873,2:-,2:-,,1
874,2:-,2:-,,1
875,2:-,2:-,,1
876,2:-,2:-,,1
877,2:-,2:-,,1
878,2:-,1:+,+,1
879,2:-,2:-,,1
880,2:-,2:-,,1
881,2:-,2:-,,1
882,2:-,2:-,,1
883,2:-,1:+,+,1
884,2:-,2:-,,0.996
885,2:-,2:-,,1
886,2:-,2:-,,1
887,2:-,2:-,,1
888,2:-,2:-,,1
889,2:-,1:+,+,1
890,2:-,2:-,,1
891,2:-,2:-,,0.961
892,2:-,2:-,,1
893,2:-,2:-,,1
894,2:-,2:-,,0.832
895,2:-,2:-,,1
896,2:-,2:-,,1
897,2:-,2:-,,0.933
898,2:-,2:-,,1
899,2:-,2:-,,1
900,2:-,2:-,,1
901,2:-,2:-,,1
902,2:-,2:-,,1
903,2:-,2:-,,1
904,2:-,2:-,,1
905,2:-,1:+,+,1
906,2:-,2:-,,1
907,2:-,2:-,,1
908,2:-,2:-,,1
909,2:-,2:-,,1
910,2:-,2:-,,1
911,2:-,2:-,,1
912,2:-,2:-,,1
913,2:-,2:-,,1
914,2:-,2:-,,1
915,2:-,2:-,,1
916,2:-,2:-,,1
917,2:-,1:+,+,1
918,2:-,2:-,,1
919,2:-,2:-,,1
920,2:-,2:-,,1
921,2:-,2:-,,1
922,2:-,2:-,,1
923,2:-,2:-,,1
924,2:-,2:-,,1
925,2:-,2:-,,1
926,2:-,2:-,,1
927,2:-,2:-,,1
928,2:-,2:-,,1
929,2:-,2:-,,1
930,2:-,2:-,,1
931,2:-,2:-,,1
932,2:-,1:+,+,1
933,2:-,2:-,,1
934,2:-,2:-,,1
935,2:-,2:-,,1
936,2:-,2:-,,1
937,2:-,2:-,,1
938,2:-,2:-,,1
939,2:-,2:-,,1
940,2:-,2:-,,1
941,2:-,1:+,+,1
942,2:-,2:-,,1
943,2:-,2:-,,1
944,2:-,2:-,,1
945,2:-,2:-,,1
946,2:-,2:-,,1
947,2:-,2:-,,1
948,2:-,2:-,,1
949,2:-,2:-,,1
950,2:-,1:+,+,1
951,2:-,2:-,,1
952,2:-,2:-,,1
953,2:-,2:-,,1
954,2:-,2:-,,1
955,2:-,2:-,,1
956,2:-,1:+,+,1
957,2:-,2:-,,1
958,2:-,1:+,+,1
959,2:-,2:-,,1
960,2:-,1:+,+,1
961,2:-,2:-,,1
962,2:-,2:-,,1
963,2:-,2:-,,1
964,2:-,2:-,,1
965,2:-,2:-,,1
966,2:-,2:-,,1
967,2:-,2:-,,1
968,2:-,2:-,,1
969,2:-,2:-,,1
970,2:-,2:-,,1
971,2:-,2:-,,1
972,2:-,2:-,,1
973,2:-,2:-,,1
974,2:-,2:-,,1
975,2:-,2:-,,1
976,2:-,2:-,,1
977,2:-,2:-,,1
978,2:-,2:-,,1
979,2:-,2:-,,1
980,2:-,2:-,,1
981,2:-,2:-,,1
982,2:-,2:-,,1
983,2:-,2:-,,1
984,2:-,2:-,,1
985,2:-,2:-,,1
986,2:-,2:-,,1
987,2:-,1:+,+,1
988,2:-,1:+,+,1
989,2:-,2:-,,1
990,2:-,2:-,,1
991,2:-,2:-,,1
992,2:-,2:-,,1
993,2:-,2:-,,1
994,2:-,2:-,,1
995,2:-,2:-,,1
996,2:-,2:-,,1
997,2:-,2:-,,1
998,2:-,2:-,,1
999,2:-,2:-,,1
1000,2:-,2:-,,1
1001,2:-,2:-,,1
1002,2:-,2:-,,1
1003,2:-,2:-,,1
1004,2:-,2:-,,1
1005,2:-,1:+,+,1
1006,2:-,2:-,,1
1007,2:-,2:-,,1
1008,2:-,2:-,,1
1009,2:-,2:-,,1
1010,2:-,2:-,,1
1011,2:-,2:-,,1
1012,2:-,2:-,,1
1013,2:-,2:-,,1
1014,2:-,2:-,,1
1015,2:-,2:-,,1
1016,2:-,2:-,,1
1017,2:-,2:-,,1
1018,2:-,1:+,+,1
1019,2:-,2:-,,1
1020,2:-,2:-,,1
1021,2:-,1:+,+,0.689
1022,2:-,2:-,,1
1023,2:-,2:-,,1
1024,2:-,2:-,,1
1025,2:-,2:-,,1
1026,2:-,1:+,+,1
1027,2:-,2:-,,1
1028,2:-,2:-,,1
1029,2:-,2:-,,1
1030,2:-,2:-,,1
1031,2:-,2:-,,1
1032,2:-,2:-,,1
1033,2:-,2:-,,1
1034,2:-,2:-,,1
1035,2:-,2:-,,1
1036,2:-,2:-,,1
1037,2:-,1:+,+,1
1038,2:-,2:-,,1
1039,2:-,2:-,,1
1040,2:-,2:-,,1
1041,2:-,2:-,,1
1042,2:-,2:-,,1
1043,2:-,2:-,,1
1044,2:-,2:-,,1
1045,2:-,2:-,,1
1046,2:-,2:-,,1
1047,2:-,2:-,,1
1048,2:-,2:-,,1
1049,2:-,2:-,,1
1050,2:-,2:-,,1
1051,2:-,2:-,,1
1052,2:-,2:-,,1
1053,2:-,2:-,,1
1054,2:-,2:-,,1
1055,2:-,1:+,+,1
1056,2:-,2:-,,1
